#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرده	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنون النصب للجمع	شرح
2	خَالِعٌ		خلع		صفة			مذكر			مفرد	+ات;خَوَالِعُ		Ta	DnT	Pf			Tn									". ""اِمْرَأَةٌ خَالِعٌ"" : الْمَرْأَةُ الْمُطَلَّقَةُ مِنْ زَوْجِهَا بِمُقَابِلٍ مَالِيٍّ ."
3	خَوَالِعُ		خلع		صفة			مذكر			جمع		خَالِعٌ														Non	
4	خَالِفٌ		خلف		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"خَالِفٌ-خَالِفٌ [خ ل ف]. 1.""وَلَدٌ خَالِفٌ"" : أَحْمَقُ، ضَعِيفٌ. 2. ""نَبِيذٌ خَالِفٌ"" : فَاسِدٌ ."
5	خَمٌّ		خمم		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"خَمٌّ-خَمٌّ [خ م م]. ""لَحْمٌ خَمٌّ"" : مُنَتَّنٌ، فاسِدُ الرَّائِحَةِ. (خَمَّ) اللَّحْمُ -ُ خَمًّا، وخُمُومًا: أنتَنَ وهو شِوَاءٌ: أو طبيخ. و- تغيَّرت رائحتُه ولَمَّا يَفْسُدْ. فهو خامٌّ، وخَمٌّ. و- اللَّبَنُ: غيرهُ خُبْثُ رائحة الوَطْب وأفسَدَه. وفي المثل: "" هو السّمْنُ لايَخِمُّ "": يضرب للرجل إِذا ذُكر بخير وأُثْنِيَ عليه. و- فلانٌ: بكى بكاءً شُديدًا. و- البَيْتَ -ُ خَمّا: كَنسه. و- البِئْرَ: كَسَحَها ونَقَّاها. ويقال: خَمَّ قلبَه: نقَّاه من الغِلّ والحِقد والحسد."
6	رَجْرَاجٌ		رجرج		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"رَجْرَاجٌ-رَجْرَاجٌ، ةٌ [ر ج ر ج]. 1.""رِدْفٌ رَجْرَاجٌ"" : الْمُهْتَزُّ الْمُضْطَرِبُ عِنْدَ الْمَشْيِ. 2.""اِمْرَأةٌ رَجْرَاجَةٌ"" : السَّمِينَةُ مُرْتَجَّةُ الرِّدْفِ."
7	رَاخِمٌ		رخم		صفة			مذكر			مفرد								Tn									"رَاخِمٌ-رَاخِمٌ [ر خ م]. ""دَجَاجَةُ رَاخِمٌ"" : حَاضِنةٌ عَلَى بَيْضِهَا."
8	مُرْخِمٌ		رخم		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"مُرْخِمٌ-مُرْخِمٌ، ةٌ [ر خ م]. ""دَجَاجَةٌ مُرْخِمَةٌ"" : حَاضِنَةٌ، أَيِ الَّتِي تَحْضُنُ بَيْضَهَا."
9	مُخْمَلٌ		خمل		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"مُخْمَلٌ-مُخْمَلٌ [خ م ل]. ""نَسِيجٌ مُخْمَلٌ"" : نَسِيجٌ لَهُ خَمْلٌ، أي ما يُشْبِهُ الزّغَبَ."
10	مُذَكَّرٌ		ذكر		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"مُذَكَّرٌ-مُذَكَّرٌ [ذ ك ر]. ""اِسْمٌ مُذَكَّرٌ"" : اِسْمٌ لَهُ صِفَاتُ الذَّكَرِ، خِلاَف الْمُؤَنَّثِ."
11	حَسَنٌ		حسن		صفة			مذكر			مفرد	+ات;حِسَانٌ		Ta	DnT	Pf			Tn									". 1.""حَسَنُ الأَخْلاَقِ"" : جَمِيلُهَا. ""حَسَنُ الوَجْهِ"" 2.""حَسَناً فَعَلْتَ"" : جَيِّداً ... 3.""يَتَقَدَّمُ مِنْ حَسَنٍ إلَى أَحْسَن"" : يَسِيرُ سَيْراً فِيهِ تَقَدُّمٌ مُتَوَاصِلٌ. 4. ""حَسَنٌ جِدّاً"" : جَيِّدٌ، مُمْتَازٌ، مِن عَلاَمَاتِ التَّنْقِيطِ الْمَدْرَسِيِّ. 5. ""حَدِيثٌ حَسَنٌ"" : فِي مُصْطَلَحِ الحَدِيثِ مَا كَانَ حَوْلَهُ اتِّفَاقٌ وَعُرِفَ رُواتُهُ."
12	حِسَانٌ		حسن		صفة			مذكر			جمع		حَسَنٌ															
13	حَقٌّ		حقق		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"حَقَّةٌ-حَقَّةٌ [ح ق ق]. ""يَعِيشُ فِي رَفَاهِيَةٍ حَقَّةٍ"" : فِي رَفَاهِيَةٍ حَقِيقِيَّةٍ تَامَّةٍ. ""السَّعَادَةُ الحَقَّةُ""."
14	حَلِيٌّ		حلي		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"حَلِيٌّ-حَلِيٌّ [ح ل ي]. 1. ""نَوْعٌ حَلِيٌّ"" : جَيِّدُ الحُلْوِ لَذِيذٌ. 2.""شَيْءٌ حَلِيٌّ"" : يَابِسٌ."
15	خَدْلٌ		خدل		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"خَدْلٌ، ةٌ - [خ د ل]. 1. ""شَابٌّ خَدْلٌ"" : مُمْتَلِئٌ تَامٌّ. 2. ""جِسْمٌ خَدْلٌ"" : مُمْتَلِئٌ. 3. ""اِمْرَأةٌ خَدْلَةٌ"" : مُمْتَلِئَةُ السَّاقِ. ""سَاقٌ خَدْلَةٌ""   ""خَدْلَةُ السَّاقِ"". "
16	خَلِيٌّ		خلو		صفة			مذكر			مفرد	+ون;+ات;أَخْلِيَاء		Ta	DnT	Pf	PmS		Tn									". ""هُوَ خَلِيُّ الْبَالِ"": غَيْرُ مَهْمُومٍ، مُرْتَاحُ الْبَالِ. 1.: فَارِغُ الذِّهْنِ. 2.: مَنْ لاَزَوْجَ لَهُ. 3.: بَيْتُ النَّحْلِ الَّذِي تَجْعَلُ فِيهِ العَسَلَ."
17	أَخْلِيَاء		خلو		صفة			مذكر			جمع		خَلِيٌّ														Non	
18	دَبْسٌ		دبس		صفة			مذكر			مفرد								Tn									"دَبْسٌ-دَبْسٌ [د ب س]. 1. ""دَبْسُ الشَّيْءِ"" : الأسْوَدُ مِنْهُ. 2.""جَاءوا دَبْساً"" : جَمَاعَةً كَثِيرَةً. 3.""مَالٌ دَبْسٌ"" : كَثِيرٌ."
19	دَرِّيٌّ		درر		صفة			مذكر			مفرد	+ات			DnN	Pf			Tn									"دَرِّيُّ-دَرِّيُّ، دُرِّيٌّ [د ر ر]. ""نَجْمٌ دُرِّيٌّ"" : مُضِيءٌ مُتَلَأْلِئٌ، سَاطِعٌ. ""الكَوْكَبُ الدُّرِّيُّ""."
20	دَرِمَةٌ		درم		صفة			مذكر			مفرد	+ات			DnN	Pf			Tn									"دَرِمَةٌ-دَرِمَةٌ [د ر م]. 1.: الأرْنَبُ. 2. ""دِرْعٌ دَرِمَةٌ"" : مَلْسَاءُ."
21	دَفِنٌ		دفن		صفة			مذكر			مفرد								Tn									"دَفِنٌ-دَفِنٌ [د ف ن]. ""مَرَضٌ دَفِنٌ"" : مَرَضٌ ظَهَرَ بَعْدَ خَفَاءٍ فَنَشَأَ مِنْهُ ضَرَرٌ."
22	دَفْنٌ		دفن		صفة			مذكر			مفرد	أدفَانٌ;دِفانٌ;دُفُنٌ			DnN				Tn									". 1.: الْمَدْفُونُ. 2. ""شِعْرٌ دِفْنٌ"" : غَامِضٌ، مُعَمّىً. 3.: الحَوْضُ أوِ البِئْرُ أَوِ الْمَنْهَلُ الَّذِي يَنْدَفِنُ."
23	أدفَانٌ		دفن		صفة			مذكر			جمع		دَفْنٌ															
24	دِفانٌ		دفن		صفة			مذكر			جمع		دَفْنٌ															
25	دُفُنٌ		دفن		صفة			مذكر			جمع		دَفْنٌ															
26	دَفِين		دفن		صفة			مذكر			مفرد	+ات;دَفَائِنُ		Ta	DnT	Pf			Tn									". ""اِكْتَشَفَ كُنوزاً دَفِينَةً"": كَانَتْ مَدْفُونَةً، مَا يُدْفَنُ."
27	دَفَائِنُ		دفن		صفة			مذكر			جمع		دَفِين														Non	
28	دَمِعَةٌ		دمع		صفة			مذكر			مفرد								Tn									"دَمِعَةٌ-دَمِعَةٌ [د م ع ]. ""يا لَها مِن اِمْرَأَةٍ دَمِعَةٍ !"" : سَريعَة البُكاءِ، يَسيلُ دَمْعُها لأَتْفَهِ الأَسْبابِ."
29	دنيء		دنأ		صفة			مذكر			مفرد	دَنايا			Dz				Tn									". ""خَصْلَةٌ دَنيئَةٌ"" : نَقيصَةٌ."
30	دنيئة		دنأ		صفة			مؤنث			مفرد	+ات;دَنايا			DnN	Pf			Tn									
31	دَنايا		دنأ		صفة						جمع		دنيء														Non	
32	دَنِيٌّ		دني		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"دَنِيٌّ-دَنِيٌّ [د ن ي]. 1.""مَكانٌ دَنِيٌّ"" : قَريبٌ. 2.""لَقِيتُهُ أَدْنَى دَنِيٍّ"" : أَي أَوَّلَ شَيْءِ. 3.""رَجُلٌ دَنِيٌّ"" : ساقِطٌ، ضَعيفٌ، خَسيسٌ."
33	دَهِيٌّ		دهي		صفة			مذكر			مفرد	+ات;أَدْهِيَةٌ;دُهَواءُ		Ta	DnT	Pf			Tn									". ""رَجُلٌ دَهِيٌّ"" : عاقِلٌ."
34	أَدْهِيَةٌ		دهي		صفة			مذكر			جمع		دَهِيٌّ															
35	دُهَواءُ		دهي		صفة			مذكر			جمع		دَهِيٌّ														Non	
36	دونٌ		دون		صفة			مذكر			مفرد								Tn									"دونٌ-دونٌ [د و ن]. ""رَجُلٌ دونٌ"" : حَقيرٌ، خَسيسٌ.""إِذا ما عَلاَ الْمَرْءُ رَامَ العَـلاءَ*وَيَقْنَعُ بِالدُّونِ مَنْ كانَ دونا""."
37	دَيِّنٌ		دين		صفة			مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									"دَيِّنٌ-دَيِّنٌ، ةٌ [د ي ن]. ""رَجُلٌ دَيِّنٌ"" : مُتَمَسِّكٌ بِأَهْدابِ الدِّينِ."
38	ذِمْرٌ		ذمر		صفة			مذكر			مفرد	أَذْمارٌ			DnN				Tn									". 1.""رَجُلٌ ذِمْرٌ"" : شُجَاعٌ. 2.""وَلَدٌ ذِمْرٌ"" : ظَرِيفٌ لَبِيبٌ."
39	أَذْمارٌ		ذمر		صفة			مذكر			جمع		ذِمْرٌ															
40	رَخْصٌ		رخص		صفة			مذكر			مفرد								Tn									"رَخْصٌ-رَخْصٌ [ر خ ص]. ""فِرَاشٌ رَخْصٌ"" : نَاعِمٌ، لَيِّنٌ."
41	رِخْوٌ		رخو		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"رِخْوٌ-رِخْوٌ، رَخْوٌ، رُخْوٌ [ر خ و]. 1.""نَبَاتٌ رَخْوٌ"" : هَشٌّ، لَيِّنٌ. 2.""فَرَسٌ رِخْوُ العِنَانِ"" : سَهْلُ القِيَادِ."
42	رَخِيٌّ		رخو		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"رَخِيٌّ-رَخِيٌّ [ر خ و]. ""وَجَدَ العَيْشَ رَخِيّاً فِي القَرْيَةِ"" : هَنِيئاً، سَهْلاً."
43	بَحَّاث		بحث		صفة			مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									"بَحَّاثَةٌ-بَحَّاثَةٌ [ب ح ث]. ""عالِمٌ بَحَّاثَةٌ"" : الباحِثُ المُنْصَرِفُ إلى البَحْثِ العِلْمِيّ."
44	عَلاَمَةٌ		علم		صفة			مذكر			مفرد	+ات			DnN	Pf			Tn									". 1.""عَلاَمَةُ الطَّرِيقِ"" : مَا يُنْصَبُ فِي الطَّرِيقِ فَيُهْتَدَى بِهِ. 2.""عَلَيْهِ عَلاَمَةُ السَّفَرِ"" : سِمَةٌ، أمَارَةٌ. ""رَأَيْتُ عَلاَمَاتِ التَّعَبِ بَادِيَةً عَلَى وَجْهِهِ"" ""الدُّمُوعُ لَمْ تَعُدْ عَلَى طَبِيعَتِهَا دُمُوعاً بَلْ هِيَ عَلاَماتُ الأَلَمِ"". (م. ص. الرافعي). 3.""عَلاَمَةٌ مُسَجَّلَةٌ"" : إِشَارَةٌ يُشَارُ بِهَا إلى البَضائِعِ على أَنَّها نَوْعِيَّةٌ وَمُمَيَّزَةٌ. 4.""نَالَ الطَّالِبُ عَلاَمَةً مُمْتَازَةً"" : دَرَجَةً، نُقْطَةً مِنْ نُقَطِ الامْتِحَانِ. 5.""عَلاَمَةُ الاسْتِفْهَامِ"" : رَمْزٌ دَالٌّ عَلَى الاسْتِفْهَامِ وَتُكْتَبُ إِشَارَتُهُ هَكَذَا(). ""عَلاَمَةُ التَّعَجُّبِ رَمْزٌ دَالٌّ عَلَى الت"
45	حَفِيٌّ		حفو		صفة			مذكر			مفرد	+ات;حُفَواءُ		Ta	DnT	Pf			Tn									". 1. ""رَجُلٌ حَفِيٌّ"" : مُبالِغٌ فِي الإكْرَامِ والبِرِّ واللُّطْفِ.مريم آية 47 إنَّهُ كَانَ بِي حَفِيّاً (قرآن). 2.""حَفِيٌّ بِالشَّيْءِ"" : عَالِمٌ بِهِ عِلْماً عَمِيقاً."
46	حُفَواءُ		حفو		صفة			مذكر			جمع		حَفِيٌّ														Non	
47	خَسِيسٌ		خسس		صفة			مذكر			مفرد	+ات;أخِسَّةٌ;خِسَاسٌ		Ta	DnT	Pf			Tn									". ""رَجُلٌ خَسِيسٌ"" : دَنِيءٌ، تَافِهٌ. ""عَرَفَهُ النَّاسُ خَسِيسَ السُّلُوكِ"" ""رَجُلٌ خَسِيسُ النَّفْسِ""."
48	أخِسَّةٌ		خسس		صفة			مذكر			جمع		خَسِيسٌ															
49	خِسَاسٌ		خسس		صفة			مذكر			جمع		خَسِيسٌ															
50	خَصِيٌّ		خصي		صفة			مذكر			مفرد	+ون;خُصْيَةٌ;خِصْيانٌ			DnN		PmS		Tn									".""فَحْلٌ خَصِيٌّ"" : مَنْ نُزِعَتْ خُصْيَتَاهُ لِوَقْفِ حَرَارتِهِ الْجِنْسِيَّةِ"
51	خُصْيَةٌ		خصي		صفة			مذكر			جمع		خَصِيٌّ															
52	خِصْيانٌ		خصي		صفة			مذكر			جمع		خَصِيٌّ															
53	دَيْسَمٌ		دسم		صفة			مذكر			مفرد								Tn									"دَيْسَمٌ-دَيْسَمٌ [د س م]. 1.""اِشْتَدَّ الدَّيْسَمُ"" : الظُّلْمَةُ، السَّوادُ. 2.(حو).: الدُّبُّ أو وَلَدُهُ. 3. (حو).: الثَّعْلَبُ أَوْ وَلَدُهُ. 4.""وَلَدٌ دَيْسَمٌ"" : رَفيقٌ بِالعَمَلِ، لَطيفٌ."
54	دَفُوفٌ		دفف		صفة			مذكر			مفرد	دُفُفٌ							Tn									"دَفُوفٌ-دَفُوفٌ [د ف ف]. ""عُقابٌ دَفُوفٌ"" : تَدْنُو مِنَ الأرْضِ عِنْدَ انْقِضَاضِهَا."
55	رَبِيقٌ		ربق		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"رَبِيقٌ-رَبِيقٌ [ر ب ق]. ""حَيَوانٌ رَبِيقٌ"" : مَرْبُوطٌ فِي الرِّبْقَةِ."
56	رَضِيٌّ		رضو		صفة			مذكر			مفرد	+ون;+ات;أَرْضِياءٌ;رُضاةٌ		Ta	DnT	Pf	PmS		Tn									". 1.""رَضِيٌّ بِنِعْمَتِهِ"" : قانِعٌ بِها. 2.""اِسْتَقالَ مِنْ عَمَلِهِ بِنَفْسٍ رَضِيَّةٍ"" : عَنْ طِيبِ خاطِرٍ."
57	أَرْضِياءٌ		رضو		صفة			مذكر			جمع		رَضِيٌّ															
58	رُضاةٌ		رضو		صفة			مذكر			جمع		رَضِيٌّ															
59	رَعْبَلٌ		رعب		صفة			مذكر			مفرد	+ات;رَعابِلُ		Ta	DnT	Pf			Tn									". 1.""اِمْرَأَةٌ رَعْبَلٌ"" : رَعْناءُ، حَمْقاءُ، تَلْبَسَ ثِياباً مُرَعْبَلَةً. 2.""ريحٌ رَعْبَلَةٌ"" : مُضْطَرِبَةُ الهُبوبِ. 3.""جَمَلٌ رَعْبَلٌ"" : ضَخْمٌ."
60	رَعابِلُ		رعب		صفة			مذكر			جمع		رَعْبَلٌ														Non	
61	رَاعِدَةٌ		رعد		صفة			مذكر			مفرد	+ات;رَوَاعِدُ		Ta	DnT	Pf			Tn									". 1. ""سَحَابَةٌ رَاعِدَةٌ"" : ذَاتُ رَعْدٍ. 2. ""ذَاتُ الرَّوَاعِدِ"" : الْمُصِيبَةُ."
62	رَوَاعِدُ		رعد		صفة			مذكر			جمع		رَاعِدَةٌ															
63	رِعْديدٌ		رعد		صفة			مذكر			مفرد	+ات;رَعادِيدُ		Ta	DnT	Pf			Tn									". 1.""رَجُلٌ رِعْديدٌ"" : جَبانٌ كَثيرُ الارْتِعادِ. 2.""نَباتٌ رِعْديدٌ"" : ناعِمٌ."
64	رَعادِيدُ		رعد		صفة			مذكر			جمع		رِعْديدٌ														Non	
65	رَغَابٌ		رغب		صفة			مذكر			مفرد	رُغُبٌ			DnN				Tn									". 1.""أَرْضٌ رَغَابٌ"" : لَيِّنَةٌ، سَهْلَةٌ، وَاسِعَةٌ. 2.""أَرْضُ الْجَنُوبِ أَرْضٌ رَغَابٌ"" : تَمْتَصُّ مَاءً كَثِيراً وَلاَ تَسِيلُ إِلاَّ مِنْ مَطَرٍ غَزِيرٍ."
66	رُغُبٌ		رغب		صفة			مذكر			جمع		رَغَابٌ															
67	أَرَكُّ		ركك		صفة			مذكر			مفرد								Tn									"أَرَكُّ-أَرَكُّ [ر ك ك]. ""وَلَدٌ أَرَكُّ"" : ضَعِيفٌ فِي عَقْلِهِ وَرَأْيِهِ."
68	رَهينٌ		رهن		صفة			مذكر			مفرد	+ات;رهائنُ		Ta	DnT	Pf			Tn									"رَهينٌ-رَهينٌ، ةٌ [ر هـ ن]. ""أنا رَهِينٌ بِما أَنْجَزْتُ"" : مَأْخوذٌ بِهِ.الطور آية 21 كُلُّ امْرِئٍ بِما كَسَبَ رَهينٌ (قرآن)."
69	رهائنُ		رهن		صفة			مذكر			جمع		رَهينٌ														Non	
70	رَهْوٌ		رهو		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"رَهْوٌ-رَهْوٌ [ر هـ و]. 1.""بَحْرٌ رَهْوٌ"" : ساكِنٌ. 2.""اِفْعَلْ ذَلِكَ رَهْواً"" : اِفْعَلْ ذلِكَ ساكِناً على هِينَتِكَ. 3.""ثَوْبٌ رَهْوٌ"" : رَقيقٌ. 4.""مَكانٌ رَهْوٌ"" : مَكانٌ مُنْخَفِضٌ يَجْتَمِعُ فيهِ الماءُ."
71	مِرْوَلٌ		رول		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"مِرْوَلٌ-مِرْوَلٌ، ةٌ [ر و ل]. ""وَلَدٌ مِرْوَلٌ"" : كَثِيرُ اللُّعَابِ."
72	مُرِيبٌ		ريب		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"مُرِيبٌ-مُرِيبٌ [ر ي ب]. ""عَمَلٌ مُرِيبٌ"" : مُشْتَبَهٌ فِيهِ، مَشْكُوكٌ فِيهِ."
73	زُحَرٌ		زحر		صفة			مذكر			مفرد								Tn									"زُحَرٌ-زُحَرٌ[ز ح ر]. ""رَجُلٌ زُحَرٌ"" : زَحَّارٌ، أَي بَخيلٌ يَئِنُّ عِنْدَ السُّؤالِ."
74	زَرَّارٌ		زرر		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"زَرَّارٌ-زَرَّارٌ[ز ر ر]. ""وَلَدٌ زَرَّارٌ"" : ذَكِيٌّ خَفيفٌ."
75	زَرَّاع		زرع		صفة			مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									"زَرَّاعَةٌ-زَرَّاعَةٌ[ز ر ع]. ""أَرْضٌ زَرَّاعَةٌ"" : أَرْضٌ تُزْرَعُ، أَي قَابِلَةٌ لِلزِّرَاعَةِ."
76	مِزْعَفٌ		زعف		صفة			مذكر			مفرد								Tn									"مِزْعَفٌ-مِزْعَفٌ [ز ع ف]. ""رَجُلٌ مِزْعَفٌ"" : النَّهِمُ الَّذِي يَأْخُذُ كُلَّ شَيْءٍ وَيَذْهَبُ بِهِ."
77	زُعاقٌ		زعق		صفة			مذكر			مفرد								Tn									"زُعاقٌ-زُعاقٌ[ز ع ق]. 1.""ماءٌ زُعاقٌ"" : مُرٌّ ثَخِينٌ. 2.""طَعامٌ زُعاقٌ"" : كَثيرُ المِلْحِ."
78	مَزَلَّةٌ		زلل		صفة			مذكر			مفرد	+ات;مَزَالُّ			DnN	Pf			Tn									". ""أَرْضٌ مَزَلَّةٌ"" : أَرْضُ الزَّلَلِ، أَيِ الخَطَايَا."
79	مَزَالُّ		زلل		صفة			مذكر			جمع		مَزَلَّةٌ														Non	
80	زَمَعَةٌ		زمع		صفة			مذكر			مفرد	زَمَعٌ;زِماعٌ;أَزْماعٌ			DnN				Tn									". 1. : هَنَةٌ زائِدَةٌ وراءَ الظِّلْفِ أَوِ الرُّسْغِ. 2.""رَجُلٌ زَمَعَةٌ"" : مِن الأَتْباعِ وَمَنْ لا يُؤْبَهُ لَهُمْ. 3.""زَمَعَةُ العُنْقودِ"" : العُقْدَةُ في مَخْرَجِهِ. 4.""زَمَعَةُ كَرْمِ العِنَبِ"" : الطَّلْعَةُ في نَواحِيها. 5.""أَرْضٌ زَمَعَةٌ"" : مُنْخَفِضَةٌ."
81	زَمَعٌ		زمع		صفة			مذكر			جمع		زَمَعَةٌ															
82	زِماعٌ		زمع		صفة			مذكر			جمع		زَمَعَةٌ															
83	أَزْماعٌ		زمع		صفة			مذكر			جمع		زَمَعَةٌ															
84	زُمَّلٌ		زمل		صفة			مذكر			جمع								Tn									زُمَّلٌ-زُمَّلٌ[ز م ل]. ن. زُمَلٌ.
85	زُمَلٌ		زمل		صفة			مذكر			مفرد								Tn									"زُمَلٌ-زُمَلٌ[ز م ل]. ""وَلَدٌ زُمَلٌ"" : جَبانٌ، ضَعيفٌ."
